business_id,alias,title
wTVWZjLF3CuQ35l0wxCUBw,tradamerican,American (Traditional)
GJhrbUZzhHPYgj6rdieyCw,hotdogs,Fast Food
GJhrbUZzhHPYgj6rdieyCw,chicken_wings,Chicken Wings
9hfkRf5QnchRLMiM19ISTA,burgers,Burgers
9hfkRf5QnchRLMiM19ISTA,hotdogs,Fast Food
qKkjEy9a245si2GHzZU_0w,burgers,Burgers
qKkjEy9a245si2GHzZU_0w,hotdogs,Fast Food
80CV528LecTcEH_xqoue3w,latin,Latin American
80CV528LecTcEH_xqoue3w,empanadas,Empanadas
80CV528LecTcEH_xqoue3w,beerbar,Beer Bar
zJW3JeYAcC5bEzF70HdmAw,breweries,Breweries
zJW3JeYAcC5bEzF70HdmAw,pubs,Pubs
zJW3JeYAcC5bEzF70HdmAw,newamerican,American (New)
GWHogMdwJZPOk1M3dlkCSQ,burgers,Burgers
GWHogMdwJZPOk1M3dlkCSQ,hotdogs,Fast Food
OkZD9ErW5RA2csiKvSRlUA,chinese,Chinese
yBdO1Z5la3cPgJIFq6v5CQ,burgers,Burgers
yBdO1Z5la3cPgJIFq6v5CQ,hotdogs,Fast Food
eG8mLFHm6BQ9GHsemO-ShQ,beergardens,Beer Gardens
eG8mLFHm6BQ9GHsemO-ShQ,breweries,Breweries
DTR6CCqJr6y2R-kmvHmwLw,tex-mex,Tex-Mex
DTR6CCqJr6y2R-kmvHmwLw,mexican,Mexican
MKnj1IU9PKrad-aHb1JkXQ,sandwiches,Sandwiches
gj0IZUpDoj_8T49DepwMEQ,sandwiches,Sandwiches
B-67lJ0rfLFVHZqA0_gPyQ,coffee,Coffee & Tea
1KWOmardZCn7DmisR1-BEg,mexican,Mexican
1KWOmardZCn7DmisR1-BEg,hotdogs,Fast Food
gb_YoBKwLEl3vbKiv-5V6g,cocktailbars,Cocktail Bars
gb_YoBKwLEl3vbKiv-5V6g,coffee,Coffee & Tea
gb_YoBKwLEl3vbKiv-5V6g,juicebars,Juice Bars & Smoothies
AUWChBIm_Qp71jUjhXsQ7Q,latin,Latin American
AUWChBIm_Qp71jUjhXsQ7Q,chickenshop,Chicken Shop
AUWChBIm_Qp71jUjhXsQ7Q,beerbar,Beer Bar
1iX5cYXsq7ucYbVUf33UIQ,grocery,Grocery
1iX5cYXsq7ucYbVUf33UIQ,wholesale_stores,Wholesale Stores
1iX5cYXsq7ucYbVUf33UIQ,deptstores,Department Stores
6hN4Eufi_bn8MxW9TTImSQ,vietnamese,Vietnamese
9dvDgcQicyE03oinXUs4qg,tradamerican,American (Traditional)
9dvDgcQicyE03oinXUs4qg,sportsbars,Sports Bars
9dvDgcQicyE03oinXUs4qg,chicken_wings,Chicken Wings
pOd8unbe5fOBgS8EojCK7A,southern,Southern
pOd8unbe5fOBgS8EojCK7A,bbq,Barbeque
pOd8unbe5fOBgS8EojCK7A,beerbar,Beer Bar
GDeqkji4iDe_pMcSBcZLFg,mexican,Mexican
bsUKk2vw1al5YuL2pdK95Q,hotdogs,Fast Food
bsUKk2vw1al5YuL2pdK95Q,burgers,Burgers
57aSIZyWaBgt2wnLcV2gEQ,burgers,Burgers
57aSIZyWaBgt2wnLcV2gEQ,hotdogs,Fast Food
PbSSlZ8wqF6QhBpcWCSQ1Q,burgers,Burgers
PbSSlZ8wqF6QhBpcWCSQ1Q,juicebars,Juice Bars & Smoothies
PbSSlZ8wqF6QhBpcWCSQ1Q,sandwiches,Sandwiches
9EMCHqnzDG8xpjm9zeWWJw,beerbar,Beer Bar
9EMCHqnzDG8xpjm9zeWWJw,tradamerican,American (Traditional)
iv5VKo-ESlZPoHAR4P7OEA,salad,Salad
iv5VKo-ESlZPoHAR4P7OEA,vegetarian,Vegetarian
hJigPQQY3VCZEZCV0owSIg,newamerican,American (New)
zWMelISUz8TNGMo5uqAk2g,breakfast_brunch,Breakfast & Brunch
zWMelISUz8TNGMo5uqAk2g,cafes,Cafes
zWMelISUz8TNGMo5uqAk2g,tradamerican,American (Traditional)
WjZR1m243ab39A0w6M8wVQ,thai,Thai
WjZR1m243ab39A0w6M8wVQ,sushi,Sushi Bars
Fj7W2jo9FW8QZx5rsm76hg,coffee,Coffee & Tea
4eT9FTSE3xqbg_4rm8NmAw,coffee,Coffee & Tea
