business_id,alias,yelp_name,wake_county_name,had_critical_violation,years_open,is_closed,review_count,rating,latitude,longitude,price,location_city,location_zip_code,url
luREw4YhfFuYiUdA0SECaw,rossi-s-deli-san-francisco,Rossi’s Deli,Lowes Foods  (Deli),4.0,17.0,0.0,151.0,4.5,37.76205,-122.43538,$,San Francisco,94114,https://www.yelp.com/biz/rossi-s-deli-san-francisco?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
vZm7Z2kAHccXI4sCosdPiA,red-robin-gourmet-burgers-and-brews-apex-2,Red Robin Gourmet Burgers and Brews,Red Robin ,1.0,13.0,0.0,103.0,3.0,35.746199522496,-78.8836338031144,$$,Apex,27502,https://www.yelp.com/biz/red-robin-gourmet-burgers-and-brews-apex-2?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
kuqppvXDoE2M-mfjVucnSg,schlotzskys-apex,Schlotzsky's,SCHLOTZSKY'S,3.0,5.0,0.0,41.0,3.0,35.74467,-78.82275,$,Apex,27502,https://www.yelp.com/biz/schlotzskys-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
UNbU9vcbZK7g4mk8wiMcGg,southern-peak-brewery-apex,Southern Peak Brewery,SOUTHERN PEAK BREWERY,1.0,3.0,0.0,40.0,4.0,35.7463,-78.84426,$$,Apex,27502,https://www.yelp.com/biz/southern-peak-brewery-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
Wnl6oiz7ZrrMvqaomCtYqQ,jersey-mikes-subs-apex-3,Jersey Mike's Subs,Jersey Mikes Restaurant,6.0,20.0,0.0,14.0,3.0,35.759003,-78.877158,$$,Apex,27523,https://www.yelp.com/biz/jersey-mikes-subs-apex-3?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
4tyOSG6i78loCgOadPNXXA,taco-mexico-apex-2,Tacos Mexico Restaurant,Tacos Mexico Restaurant,10.0,17.0,0.0,79.0,3.5,35.72669,-78.85164,$,Apex,27502,https://www.yelp.com/biz/taco-mexico-apex-2?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
OTedmgwS2zqmBW8wONGwCw,park-gyros-castro-san-francisco-4,Park Gyros - Castro,SULTAN'S DELI,4.0,4.0,0.0,191.0,4.0,37.76173,-122.43479,$$,San Francisco,94114,https://www.yelp.com/biz/park-gyros-castro-san-francisco-4?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
p9ynqlBe6HtB1ldPQpqfTw,yamato-steak-seafood-and-sushi-bar-apex,"Yamato Steak, Seafood & Sushi Bar",YAMATO,1.0,7.0,0.0,63.0,4.0,35.72367,-78.84625,$$,Apex,27502,https://www.yelp.com/biz/yamato-steak-seafood-and-sushi-bar-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
64fD60zBYjFuDELSeOI30Q,wake-zone-coffee-house-apex-2,Wake Zone Coffee House,THE WAKE ZONE ESPRESSO,2.0,2.0,0.0,106.0,4.5,35.7539537273556,-78.8494808447617,$,Apex,27523,https://www.yelp.com/biz/wake-zone-coffee-house-apex-2?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
gXTIq2sEQajMPefoj5uvwg,ajs-food-mart-apex,Aj's Food Mart,AJ'S FOOD MART,10.0,3.0,0.0,1.0,4.0,35.67695,-78.736628,?,Apex,27502,https://www.yelp.com/biz/ajs-food-mart-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
9_EevksnW8TrNYibpcweIw,baan-thai-apex,Baan Thai,BAAN THAI RESTAURANT,6.0,12.0,0.0,143.0,4.0,35.7376866,-78.8640693,$$,Apex,27502,https://www.yelp.com/biz/baan-thai-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
mgGS4dPb19tD69I52xv2rg,wangs-kitchen-apex,Wang's Kitchen,New Wangs Kitchen,19.0,15.0,0.0,19.0,3.5,35.7357283355793,-78.8417611359479,$,Apex,27502,https://www.yelp.com/biz/wangs-kitchen-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
uPUiYryAKvbLjpjc6UkWug,noodles-and-company-apex,Noodles & Company,NOODLES & COMPANY ,3.0,4.0,0.0,18.0,2.5,35.7439086372383,-78.8731455802917,$,Apex,27502,https://www.yelp.com/biz/noodles-and-company-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
